ID	jobs	opt_TT	time	status	LB
20001	4	103	0,166	Optimum found	103
20002	4	93	0,048	Optimum found	93
20003	4	98	0,083	Optimum found	98
20004	4	0	0,152	Optimum found	0
20005	4	0	0,088	Optimum found	0
20006	4	132	0,126	Optimum found	132
20007	4	392	0,781	Optimum found	392
20008	4	273	0,094	Optimum found	273
20009	4	162	0,177	Optimum found	162
20010	4	482	0,067	Optimum found	482
20011	4	499	0,09	Optimum found	499
20012	4	315	0,294	Optimum found	315
20013	4	72	0,104	Optimum found	72
20014	4	32	0,286	Optimum found	32
20015	4	32	0,298	Optimum found	32
20016	4	175	0,201	Optimum found	175
20017	4	120	0,098	Optimum found	120
20018	4	209	0,549	Optimum found	209
20019	4	306	0,115	Optimum found	306
20020	4	118	0,427	Optimum found	118
20021	4	257	0,252	Optimum found	257
20022	4	314	0,303	Optimum found	314
20023	4	39	0,25	Optimum found	39
20024	4	275	0,185	Optimum found	275
20025	4	65	0,115	Optimum found	65
20026	4	38	0,306	Optimum found	38
20027	4	218	0,552	Optimum found	218
20028	4	189	0,114	Optimum found	189
20029	4	90	0,129	Optimum found	90
20030	4	73	0,069	Optimum found	73
20031	4	466	0,644	Optimum found	466
20032	4	319	0,3	Optimum found	319
20033	4	203	0,087	Optimum found	203
20034	4	65	0,101	Optimum found	65
20035	4	900	0,535	Optimum found	900
20036	4	289	0,08	Optimum found	289
20037	4	48	0,195	Optimum found	48
20038	4	0	0,17	Optimum found	0
20039	4	0	0,345	Optimum found	0
20040	4	155	0,36	Optimum found	155
20041	4	186	0,096	Optimum found	186
20042	4	139	0,555	Optimum found	139
20043	4	355	0,196	Optimum found	355
20044	4	160	0,436	Optimum found	160
20045	4	79	0,168	Optimum found	79
20046	4	477	0,54	Optimum found	477
20047	4	343	0,281	Optimum found	343
20048	4	586	0,345	Optimum found	586
20049	4	20	0,161	Optimum found	20
20050	4	75	0,385	Optimum found	75
20051	4	85	0,649	Optimum found	85
20052	4	52	0,07	Optimum found	52
20053	4	106	0,186	Optimum found	106
20054	4	178	0,141	Optimum found	178
20055	4	235	0,358	Optimum found	235
20056	4	437	0,563	Optimum found	437
20057	4	282	0,195	Optimum found	282
20058	4	473	0,185	Optimum found	473
20059	4	160	0,081	Optimum found	160
20060	4	640	0,599	Optimum found	640
20061	4	75	0,604	Optimum found	75
20062	4	14	0,39	Optimum found	14
20063	4	72	0,122	Optimum found	72
20064	4	165	0,319	Optimum found	165
20065	4	278	0,057	Optimum found	278
20066	4	316	0,599	Optimum found	316
20067	4	416	0,115	Optimum found	416
20068	4	273	0,388	Optimum found	273
20069	4	414	0,217	Optimum found	414
20070	4	126	0,101	Optimum found	126
20071	4	370	0,133	Optimum found	370
20072	4	510	0,088	Optimum found	510
20073	4	0	0,185	Optimum found	0
20074	4	295	0,341	Optimum found	295
20075	4	40	0,063	Optimum found	40
20076	4	221	0,086	Optimum found	221
20077	4	146	0,071	Optimum found	146
20078	4	74	0,205	Optimum found	74
20079	4	288	0,224	Optimum found	288
20080	4	25	0,307	Optimum found	25
20081	4	212	0,16	Optimum found	212
20082	4	181	0,079	Optimum found	181
20083	4	377	0,067	Optimum found	377
20084	4	97	0,474	Optimum found	97
20085	4	0	0,057	Optimum found	0
20086	4	58	0,18	Optimum found	58
20087	4	18	0,308	Optimum found	18
20088	4	390	0,3	Optimum found	390
20089	4	160	0,444	Optimum found	160
20090	4	33	0,149	Optimum found	33
20091	4	285	0,081	Optimum found	285
20092	4	376	0,067	Optimum found	376
20093	4	451	0,417	Optimum found	451
20094	4	114	0,072	Optimum found	114
20095	4	312	0,155	Optimum found	312
20096	4	198	0,074	Optimum found	198
20097	4	96	0,083	Optimum found	96
20098	4	0	0,123	Optimum found	0
20099	4	201	0,584	Optimum found	201
20100	4	93	0,102	Optimum found	93
20101	4	0	0,04	Optimum found	0
20102	4	278	0,053	Optimum found	278
20103	4	387	0,09	Optimum found	387
20104	4	368	0,509	Optimum found	368
20105	4	549	0,645	Optimum found	549
20106	4	373	0,168	Optimum found	373
20107	4	502	0,691	Optimum found	502
20108	4	303	0,228	Optimum found	303
20109	4	0	0,779	Optimum found	0
20110	4	77	0,086	Optimum found	77
20111	4	44	0,466	Optimum found	44
20112	4	197	0,137	Optimum found	197
20113	4	95	0,126	Optimum found	95
20114	4	97	0,727	Optimum found	97
20115	4	199	0,465	Optimum found	199
20116	4	270	0,11	Optimum found	270
20117	4	319	0,303	Optimum found	319
20118	4	202	0,375	Optimum found	202
20119	4	606	0,842	Optimum found	606
20120	4	130	0,244	Optimum found	130
20121	4	113	0,207	Optimum found	113
20122	4	101	0,324	Optimum found	101
20123	4	108	0,189	Optimum found	108
20124	4	118	0,309	Optimum found	118
20125	4	51	0,095	Optimum found	51
20126	4	177	0,47	Optimum found	177
20127	4	245	0,269	Optimum found	245
20128	4	497	0,405	Optimum found	497
20129	4	483	0,17	Optimum found	483
20130	4	0	0,157	Optimum found	0
20131	4	384	0,289	Optimum found	384
20132	4	246	0,082	Optimum found	246
20133	4	0	0,131	Optimum found	0
20134	4	102	0,045	Optimum found	102
20135	4	96	0,108	Optimum found	96
20136	4	409	0,688	Optimum found	409
20137	4	171	0,102	Optimum found	171
20138	4	279	0,16	Optimum found	279
20139	4	325	0,276	Optimum found	325
20140	4	231	0,165	Optimum found	231
20141	4	272	0,141	Optimum found	272
20142	4	551	0,079	Optimum found	551
20143	4	26	0,251	Optimum found	26
20144	4	354	0,306	Optimum found	354
20145	6	59	56,105	Optimum found	59
20146	6	152	1,615	Optimum found	152
20147	6	32	4,552	Optimum found	32
20148	6	145	0,422	Optimum found	145
20149	6	397	0,591	Optimum found	397
20150	6	250	0,439	Optimum found	250
20151	6	169	0,92	Optimum found	169
20152	6	601	1,411	Optimum found	601
20153	6	703	2,258	Optimum found	703
20154	6	801	0,847	Optimum found	801
20155	6	243	1,824	Optimum found	243
20156	6	185	0,395	Optimum found	185
20157	6	50	23,196	Optimum found	50
20158	6	0	1,024	Optimum found	0
20159	6	0	1,212	Optimum found	0
