experiment,instance,alpha,decoder,solution,time,last_improvment_time,generations,last_improvment_iteration,restarts,grater_inprovment_distnace,sum,nun
0,20325,0.0,1,19.0,4.0001,0.0249,1928,10,9,4,0,
1,20325,0.0,1,19.0,4.0004,0.0232,1879,9,9,5,0,
2,20325,0.0,1,19.0,4.0016,0.0123,1911,4,9,3,0,
3,20325,0.0,1,19.0,4.0016,0.0236,1900,9,9,5,0,
4,20325,0.0,1,19.0,4.0007,0.0285,1901,11,9,7,0,
0,20326,0.0,1,67.0,4.0,0.0061,1554,1,7,1,0,
1,20326,0.0,1,67.0,4.0019,0.006,1562,1,7,1,0,
2,20326,0.0,1,67.0,4.0008,0.0061,1569,1,7,1,0,
3,20326,0.0,1,67.0,4.0014,0.0059,1560,1,7,1,0,
4,20326,0.0,1,67.0,4.0018,0.0061,1573,1,7,1,0,
0,20327,0.0,1,87.0,4.001,0.0059,2296,1,11,1,0,
1,20327,0.0,1,87.0,4.0015,0.0123,2280,4,11,3,0,
2,20327,0.0,1,87.0,4.001,0.0079,2246,2,11,1,0,
3,20327,0.0,1,87.0,4.0012,0.008,2287,2,11,1,0,
4,20327,0.0,1,87.0,4.0008,0.0101,2285,3,11,2,0,
0,20328,0.0,1,507.0,4.002,0.0106,1596,3,7,2,0,
1,20328,0.0,1,507.0,4.0008,0.0058,1592,1,7,1,0,
2,20328,0.0,1,507.0,4.0025,0.0105,1598,3,7,2,0,
3,20328,0.0,1,507.0,4.0009,0.0081,1591,2,7,1,0,
4,20328,0.0,1,507.0,4.0013,0.0057,1592,1,7,1,0,
0,20329,0.0,1,324.0,4.0003,0.034,1610,13,7,7,0,
1,20329,0.0,1,324.0,4.0033,0.0174,1606,6,8,3,0,
2,20329,0.0,1,324.0,4.0005,0.1288,1608,51,7,30,0,
3,20329,0.0,1,324.0,4.002,0.0222,1612,8,8,5,0,
4,20329,0.0,1,324.0,4.0014,0.1043,1613,41,7,33,0,
0,20330,0.0,1,88.0,4.0016,0.006,1569,1,7,1,0,
1,20330,0.0,1,88.0,4.0011,0.0059,1572,1,7,1,0,
2,20330,0.0,1,88.0,4.0023,0.0059,1573,1,7,1,0,
3,20330,0.0,1,88.0,4.0022,0.0058,1566,1,7,1,0,
4,20330,0.0,1,88.0,4.0018,0.006,1570,1,7,1,0,
0,20331,0.0,1,481.0,4.0,0.0573,2493,27,12,13,0,
1,20331,0.0,1,481.0,4.0009,0.0372,2490,17,12,5,0,
2,20331,0.0,1,481.0,4.001,0.0262,2490,11,12,5,0,
3,20331,0.0,1,481.0,4.0002,0.0119,2492,4,12,3,0,
4,20331,0.0,1,481.0,4.0001,0.0296,2483,13,12,5,0,
