jobs,stages,alpha,solution_d0,solution_d0,solution_d0,gap_d0,last_improvment_time_d0,solution_d1,solution_d1,solution_d1,gap_d1,last_improvment_time_d1
,,,mean,min,cv,,mean,mean,min,cv,,mean
30,5,0.10,8419.05,8408.01,0.16,0.61,5.53,8399.28,8384.88,0.27,0.09,5.48
30,10,0.10,13793.67,13775.74,0.24,3.96,10.88,13543.19,13529.86,0.21,0.01,11.71
30,30,0.10,33118.00,33085.60,0.26,8.96,21.94,31806.95,31786.79,0.08,0.00,27.96
50,5,0.10,16625.64,16581.05,0.51,0.46,10.35,16598.23,16547.76,0.51,0.29,16.47
50,10,0.10,26426.88,26367.60,0.27,0.79,20.87,26284.21,26229.17,0.25,0.04,37.99
50,30,0.10,64808.74,64702.20,0.26,5.71,53.27,62918.04,62863.48,0.13,0.00,100.84
100,5,0.10,39233.17,39087.32,2.78,0.80,40.89,39245.24,39102.92,2.31,64.93,64.99
100,10,0.10,81025.12,80846.90,0.32,0.20,94.20,81076.89,80869.31,0.34,0.29,136.33
100,30,0.10,157372.95,157034.18,0.30,2.30,205.06,155058.67,154806.99,0.22,0.00,359.63
