ID;FO;tempo;x
1;2261;2749.301000;1
2;1618;2639.832000;1
3;2596;1964.509000;1
4;1491;1961.219000;1
5;2873;2845.691000;1
6;3141;2336.722000;1
7;2856;1983.764000;1
8;999;2507.401000;1
9;981;2013.633000;1
10;1200;3011.126000;1
11;2381;2913.763000;1
12;895;2884.939000;1
13;2633;1930.549000;1
14;2394;2131.731000;1
15;2233;2805.303000;1
16;2356;2323.550000;1
17;1480;2525.308000;1
18;3283;2219.929000;1
19;2671;2018.184000;1
20;507;2039.308000;1
21;2403;2695.955000;1
22;4038;2579.813000;1
23;1125;2282.355000;1
24;2209;2270.093000;1
25;6096;2676.492000;1
26;1424;2403.279000;1
27;1217;1985.194000;1
28;2622;2955.158000;1
29;1393;2518.114000;1
30;5321;2056.870000;1
31;8478;1926.971000;1
32;5786;1749.123000;1
33;5914;1641.381000;1
34;9723;1662.686000;1
35;11056;1644.146000;1
36;10295;1615.972000;1
37;7008;1665.432000;1
38;7352;1760.615000;1
39;6117;1656.380000;1
40;11425;1734.699000;1
41;10919;1812.169000;1
42;9875;1778.738000;1
43;7355;1768.443000;1
44;7801;2151.999000;1
45;7649;1879.767000;1
46;9490;2420.054000;1
47;13786;1936.527000;1
48;9114;2772.944000;1
49;8949;3066.068000;1
50;9436;2131.580000;1
51;15235;2677.571000;1
52;15912;2671.095000;1
53;9872;2824.456000;1
54;10296;2536.362000;1
55;7678;2811.582000;1
56;7509;2573.793000;1
57;11299;2809.544000;1
58;15204;2417.073000;1
59;11083;2837.503000;1
60;8202;1900.012000;1
61;2393;2039.462000;1
62;1848;2014.339000;1
63;3104;2158.939000;1
64;2078;2143.466000;1
65;3211;2830.515000;1
66;6184;2886.567000;1
67;3782;2786.581000;1
68;7734;1878.931000;1
69;1053;2161.047000;1
70;2262;2052.503000;1
71;6565;2933.978000;1
72;3496;2829.478000;1
73;4740;2602.494000;1
74;1444;2870.727000;1
75;3241;2171.797000;1
76;172;2654.396000;1
77;5046;2049.739000;1
78;3104;2277.253000;1
79;5988;2214.627000;1
80;5150;1994.160000;1
81;2395;2873.743000;1
82;5579;2558.814000;1
83;10311;2724.945000;1
84;8066;2134.262000;1
85;3402;2520.529000;1
86;2216;2905.880000;1
87;5708;2784.246000;1
88;6040;2705.023000;1
89;6053;1807.298000;1
90;7587;2829.774000;1
91;10602;1907.121000;1
92;9097;1938.127000;1
93;9096;2365.886000;1
94;14896;1856.923000;1
95;7660;2192.928000;1
96;12284;2293.287000;1
97;1779;2837.588000;1
98;11619;1869.408000;1
99;8351;1944.220000;1
100;15603;2362.798000;1
101;12489;2838.034000;1
102;12230;2821.838000;1
103;7432;2116.965000;1
104;11503;1986.904000;1
105;14963;2057.627000;1
106;10144;1824.112000;1
107;6459;2186.251000;1
108;16503;2802.211000;1
109;7832;2974.715000;1
110;9675;2672.208000;1
111;18631;1851.586000;1
112;16636;2688.873000;1
113;16980;2726.046000;1
114;12833;2247.265000;1
115;17024;2618.992000;1
116;10115;2809.837000;1
117;15761;2704.171000;1
118;16113;2807.159000;1
119;18914;1895.864000;1
120;12488;1911.933000;1
121;485;3228.621000;1
122;771;3054.183000;1
123;1191;2650.200000;1
124;973;3100.011000;1
125;3340;2552.743000;1
126;1090;2848.766000;1
127;1211;3314.902000;1
128;0;1.009000;1
129;1396;3074.082000;1
130;1309;2780.415000;1
131;4391;3088.486000;1
132;1949;2572.468000;1
133;1405;2689.010000;1
134;895;2922.879000;1
135;2686;3002.467000;1
136;1549;2909.158000;1
137;2312;2649.753000;1
138;149;2964.734000;1
139;1447;3186.949000;1
140;4159;2674.749000;1
141;2966;3221.018000;1
142;2260;2669.498000;1
143;2002;2976.644000;1
144;3087;3046.191000;1
145;1451;3403.067000;1
146;1614;3197.447000;1
147;2842;3428.105000;1
148;1700;3087.360000;1
149;3002;3336.455000;1
150;2339;3237.810000;1
151;9313;3287.286000;1
152;11647;3151.416000;1
153;7828;3259.981000;1
154;8348;3454.635000;1
155;7672;3200.539000;1
156;5605;3108.915000;1
157;7754;3203.780000;1
158;5485;3296.098000;1
159;9072;3079.586000;1
160;4271;3367.423000;1
161;11719;3302.314000;1
162;7143;3360.899000;1
163;18659;3194.569000;1
164;3929;3335.248000;1
165;10674;3235.005000;1
166;9294;3300.452000;1
167;14444;3213.765000;1
168;6760;3409.478000;1
169;12201;3248.841000;1
170;7465;3369.819000;1
171;10569;3306.062000;1
172;9287;3292.612000;1
173;10899;3287.357000;1
174;8107;3348.397000;1
175;6640;3357.914000;1
176;12712;3370.853000;1
177;10042;3326.562000;1
178;11950;3378.541000;1
179;7058;3377.682000;1
180;14820;3272.133000;1
181;1278;3249.451000;1
182;5124;3036.479000;1
183;201;3269.716000;1
184;3493;3087.416000;1
185;1258;3228.760000;1
186;3761;3136.438000;1
187;830;3287.168000;1
188;1652;3155.083000;1
189;2315;3285.770000;1
190;127;3206.671000;1
191;3574;3281.313000;1
192;2259;3238.394000;1
193;4729;3289.197000;1
194;3037;3111.493000;1
195;3484;3300.043000;1
196;3369;3172.803000;1
197;7374;3294.028000;1
198;3805;3238.242000;1
199;2451;3288.799000;1
200;2775;3375.388000;1
201;3550;3323.495000;1
202;6815;3270.244000;1
203;4999;3200.371000;1
204;2229;3242.850000;1
205;5990;3114.511000;1
206;3365;3297.339000;1
207;3658;3096.992000;1
208;8964;3358.129000;1
209;3380;3159.600000;1
210;4224;3258.434000;1
211;8727;3157.563000;1
212;9035;3235.309000;1
213;4496;3270.705000;1
214;6548;3241.594000;1
215;11927;3192.831000;1
216;10316;3245.667000;1
217;9110;3296.464000;1
218;11110;3323.912000;1
219;11600;3215.654000;1
220;12944;3299.641000;1
221;14177;3224.915000;1
222;10851;3274.252000;1
223;10580;2932.620000;1
224;12872;3247.230000;1
225;12973;3315.317000;1
226;16774;3325.390000;1
227;11506;3350.323000;1
228;8373;3247.208000;1
229;11020;3362.356000;1
230;11627;3313.665000;1
231;11983;3353.763000;1
232;13029;3312.967000;1
233;12506;3312.524000;1
234;13757;3365.903000;1
235;5777;3392.895000;1
236;19858;3293.808000;1
237;13140;2683.089000;1
238;23442;3170.924000;1
239;11729;3205.934000;1
240;16414;3233.734000;1
241;1244;4274.929000;1
242;1446;3126.578000;1
243;1231;4373.796000;1
244;2060;4375.317000;1
245;645;2903.260000;1
246;1229;2847.383000;1
247;2300;3093.402000;1
248;251;3160.489000;1
249;1577;3633.379000;1
250;537;3514.266000;1
251;5123;3746.823000;1
252;1575;3702.541000;1
253;2933;3735.713000;1
254;2717;3506.883000;1
255;2337;2979.829000;1
256;1867;2994.824000;1
257;1893;3180.406000;1
258;1433;2850.139000;1
259;2772;3199.332000;1
260;3276;2966.297000;1
261;3635;3110.144000;1
262;1939;2945.731000;1
263;2668;3180.384000;1
264;2642;2971.200000;1
265;2413;3110.560000;1
266;1307;2969.346000;1
267;2781;3006.626000;1
268;698;3013.046000;1
269;1135;2882.202000;1
270;1647;2898.267000;1
271;4687;2854.680000;1
272;4492;2954.100000;1
273;7106;2895.664000;1
274;8016;3030.533000;1
275;4053;2958.394000;1
276;8689;2950.704000;1
277;7283;2953.324000;1
278;7570;2955.996000;1
279;7004;3401.813000;1
280;8769;3740.903000;1
281;5969;3852.604000;1
282;9794;3548.241000;1
283;5826;3747.195000;1
284;10264;3550.157000;1
285;3403;3016.691000;1
286;6502;3317.532000;1
287;3120;3887.838000;1
288;7619;3698.318000;1
289;5063;3790.701000;1
290;11319;3529.110000;1
291;11667;3682.415000;1
292;10601;3551.457000;1
293;6992;3593.669000;1
294;12453;3544.038000;1
295;9113;3700.758000;1
296;13843;3550.305000;1
297;10717;3702.487000;1
298;13639;3664.581000;1
