instance,jobs,LBTT,tempo,otimo,tempo,status,MP(%)
20001,4,76,0.024,103,0.166,Optimum found,26.2
20002,4,93,0.02,93,0.048,Optimum found,0.0
20003,4,98,0.021,98,0.083,Optimum found,0.0
20004,4,0,0.022,0,0.152,Optimum found,0.0
20005,4,0,0.02,0,0.088,Optimum found,0.0
20006,4,132,0.022,132,0.126,Optimum found,0.0
20007,4,364,0.023,392,0.781,Optimum found,7.1
20008,4,238,0.022,273,0.094,Optimum found,12.8
20009,4,159,0.022,162,0.177,Optimum found,1.9
20010,4,482,0.022,482,0.067,Optimum found,0.0
20011,4,499,0.022,499,0.09,Optimum found,0.0
20012,4,234,0.021,315,0.294,Optimum found,25.7
20013,4,72,0.024,72,0.104,Optimum found,0.0
20014,4,32,0.022,32,0.286,Optimum found,0.0
20015,4,26,0.022,32,0.298,Optimum found,18.8
20016,4,162,0.022,175,0.201,Optimum found,7.4
20017,4,120,0.021,120,0.098,Optimum found,0.0
20018,4,149,0.022,209,0.549,Optimum found,28.7
20019,4,285,0.022,306,0.115,Optimum found,6.9
20020,4,69,0.022,118,0.427,Optimum found,41.5
20021,4,254,0.021,257,0.252,Optimum found,1.2
20022,4,312,0.021,314,0.303,Optimum found,0.6
20023,4,29,0.021,39,0.25,Optimum found,25.6
20024,4,251,0.022,275,0.185,Optimum found,8.7
20025,4,56,0.021,65,0.115,Optimum found,13.8
20026,4,0,0.021,38,0.306,Optimum found,100.0
20027,4,155,0.021,218,0.552,Optimum found,28.9
20028,4,189,0.022,189,0.114,Optimum found,0.0
20029,4,90,0.027,90,0.129,Optimum found,0.0
20030,4,73,0.023,73,0.069,Optimum found,0.0
20031,4,448,0.024,466,0.644,Optimum found,3.9
20032,4,249,0.028,319,0.3,Optimum found,21.9
20033,4,186,0.03,203,0.087,Optimum found,8.4
20034,4,65,0.029,65,0.101,Optimum found,0.0
20035,4,821,0.027,900,0.535,Optimum found,8.8
20036,4,289,0.028,289,0.08,Optimum found,0.0
20037,4,0,0.029,48,0.195,Optimum found,100.0
20038,4,0,0.022,0,0.17,Optimum found,0.0
20039,4,0,0.021,0,0.345,Optimum found,0.0
20040,4,139,0.021,155,0.36,Optimum found,10.3
20041,4,185,0.022,186,0.096,Optimum found,0.5
20042,4,76,0.022,139,0.555,Optimum found,45.3
20043,4,308,0.021,355,0.196,Optimum found,13.2
20044,4,82,0.022,160,0.436,Optimum found,48.8
20045,4,79,0.022,79,0.168,Optimum found,0.0
20046,4,471,0.023,477,0.54,Optimum found,1.3
20047,4,325,0.022,343,0.281,Optimum found,5.2
20048,4,533,0.023,586,0.345,Optimum found,9.0
20049,4,20,0.021,20,0.161,Optimum found,0.0
20050,4,25,0.022,75,0.385,Optimum found,66.7
20051,4,35,0.022,85,0.649,Optimum found,58.8
20052,4,52,0.022,52,0.07,Optimum found,0.0
20053,4,91,0.022,106,0.186,Optimum found,14.2
20054,4,178,0.023,178,0.141,Optimum found,0.0
20055,4,212,0.022,235,0.358,Optimum found,9.8
20056,4,409,0.023,437,0.563,Optimum found,6.4
20057,4,275,0.022,282,0.195,Optimum found,2.5
20058,4,461,0.022,473,0.185,Optimum found,2.5
20059,4,160,0.021,160,0.081,Optimum found,0.0
20060,4,579,0.022,640,0.599,Optimum found,9.5
20061,4,47,0.024,75,0.604,Optimum found,37.3
20062,4,0,0.021,14,0.39,Optimum found,100.0
20063,4,72,0.022,72,0.122,Optimum found,0.0
20064,4,163,0.022,165,0.319,Optimum found,1.2
20065,4,278,0.022,278,0.057,Optimum found,0.0
20066,4,233,0.022,316,0.599,Optimum found,26.3
20067,4,363,0.029,416,0.115,Optimum found,12.7
20068,4,208,0.029,273,0.388,Optimum found,23.8
20069,4,408,0.029,414,0.217,Optimum found,1.4
20070,4,126,0.032,126,0.101,Optimum found,0.0
20071,4,364,0.029,370,0.133,Optimum found,1.6
20072,4,487,0.028,510,0.088,Optimum found,4.5
20073,4,0,0.022,0,0.185,Optimum found,0.0
20074,4,271,0.021,295,0.341,Optimum found,8.1
20075,4,40,0.022,40,0.063,Optimum found,0.0
