instance,alpha,solution,time,gap,lb,nodes,ub
20193,0.3,27.903714,1.570711,0.0,27.903714,2792,27.903714
20001,0.4,176.046145,0.111617,0.0,176.046145,557,176.046145
20002,0.4,93.958524,0.045196,0.0,93.958524,63,93.958524
20003,0.4,155.943059,0.210807,0.0,155.943059,782,155.943059
20004,0.4,0.0,0.038476,0.0,0.0,20,0.0
20005,0.4,2.182777,0.027006,0.0,2.182777,47,2.182777
20146,0.4,334.411295,86.04448,0.0,334.411295,106571,334.411295
20147,0.4,157.393554,12.46533,0.0,157.393554,9777,157.393554
20148,0.4,228.994761,1.086878,0.0,228.994761,2132,228.994761
20149,0.4,434.27641,0.258004,0.0,434.27641,115,434.27641
20189,0.9,1209.231625,265.788429,0.0,1209.231625,337872,1209.231625
20190,0.9,1586.114938,44.014357,0.0,1586.114938,59249,1586.114938
20191,0.9,1021.9214,16.439731,0.0,1021.9214,15868,1021.9214
20192,0.9,685.358,15.228012,0.0,685.358,14380,685.358
20193,0.9,454.209558,11.645407,0.0,454.209558,8536,454.209558
20001,1.0,409.0,0.170234,0.0,409.0,747,409.0
20002,1.0,211.0,0.088413,0.0,211.0,445,211.0
20003,1.0,256.0,0.107524,0.0,256.0,659,256.0
20004,1.0,18.0,0.147694,0.0,18.0,641,18.0
20005,1.0,108.0,0.107998,0.0,108.0,697,108.0
20001,0.0,103.0,0.051159,0.0,103.0,135,103.0
20002,0.0,93.0,0.033735,0.0,93.0,21,93.0
20003,0.0,98.0,0.029921,0.0,98.0,10,98.0
20004,0.0,0.0,0.02828,0.0,0.0,50,0.0
20005,0.0,0.0,0.025569,0.0,0.0,18,0.0
20146,0.0,152.0,1.917788,0.0,152.0,1292,152.0
20147,0.0,32.0,1.702799,0.0,32.0,2536,32.0
20148,0.0,145.0,0.650423,0.0,145.0,2368,145.0
20149,0.0,397.0,0.327688,0.0,397.0,618,397.0
20189,0.0,416.0,13.483025,0.0,416.0,25431,416.0
20190,0.0,751.0,23.058336,0.0,751.0,39923,751.0
20191,0.0,462.0,1.294067,0.0,462.0,6622,462.0
20192,0.0,75.0,0.803304,0.0,75.0,2378,75.0
20193,0.0,22.0,0.195467,0.0,22.0,180,22.0
20001,0.1,119.376024,0.073519,0.0,119.376024,314,119.376024
20002,0.1,93.21532,0.018558,0.0,93.21532,10,93.21532
20003,0.1,105.97323,0.085708,0.0,105.97323,266,105.97323
20004,0.1,0.0,0.028476,0.0,0.0,19,0.0
20005,0.1,0.0,0.011764,0.0,0.0,0,0.0
20146,0.1,193.733324,19.843775,0.0,193.733324,20025,193.733324
20147,0.1,45.919767,8.154818,0.0,45.919767,5989,45.919767
