jobs,stages,alpha,solution_d0,solution_d0,solution_d0,gap_d0,last_improvment_time_d0,solution_d1,solution_d1,solution_d1,gap_d1,last_improvment_time_d1
,,,mean,min,cv,,mean,mean,min,cv,,mean
30,5,0.20,10521.66,10503.84,0.24,0.99,5.51,10476.52,10454.35,0.26,0.03,5.55
30,10,0.20,16828.28,16796.75,0.31,5.40,9.72,16392.48,16363.95,0.31,0.00,12.91
30,30,0.20,41029.94,40962.45,0.25,17.20,21.71,38236.36,38198.89,0.22,0.00,29.53
50,5,0.20,23573.65,23514.94,0.30,0.32,10.67,23560.04,23491.39,0.33,0.12,17.14
50,10,0.20,36825.01,36747.73,0.24,0.76,19.15,36635.82,36567.60,0.22,0.02,39.25
50,30,0.20,86765.14,86562.51,0.29,6.55,48.95,83417.01,83320.11,0.13,0.00,101.35
100,5,0.20,67315.62,67058.47,0.50,0.26,39.62,67359.16,67096.52,0.51,0.34,59.74
100,10,0.20,125958.58,125687.30,0.25,0.20,72.39,126022.42,125706.96,0.27,0.23,120.51
100,30,0.20,241536.53,241088.08,0.20,1.68,177.03,238623.74,238198.70,0.18,0.00,338.09
