jobs,stages,alpha,solution_d0,solution_d0,solution_d0,gap_d0,last_improvment_time_d0,solution_d1,solution_d1,solution_d1,gap_d1,last_improvment_time_d1
,,,mean,min,cv,,mean,mean,min,cv,,mean
30,5,0.00,6880.34,6875.50,0.12,0.08,3.61,6880.90,6873.77,0.16,0.05,3.51
30,10,0.00,11456.65,11451.81,0.11,0.34,7.27,11445.26,11438.71,0.12,0.05,7.48
30,30,0.00,27030.94,27026.38,0.02,0.07,14.41,27017.03,27012.44,0.01,0.02,13.04
50,5,0.00,12019.54,11993.25,0.29,0.14,7.32,12032.35,12009.71,0.32,0.40,12.22
50,10,0.00,19317.36,19283.35,0.29,0.29,17.50,19295.04,19260.98,0.28,0.11,24.16
50,30,0.00,49246.10,49211.54,0.11,0.28,45.80,49150.89,49126.54,0.05,0.00,63.49
100,5,0.00,24279.70,24183.08,1.36,0.16,28.69,24303.22,24227.23,6.81,1.42,43.87
100,10,0.00,52059.90,51918.33,1.23,0.56,62.52,52086.72,51948.10,1.75,0.43,95.41
100,30,0.00,105711.47,105530.54,0.27,0.84,156.59,105321.74,105177.77,0.22,0.14,260.89
