ID;FO;tempo;x
1;2262;52.487000;1
2;1618;31.699000;1
3;2625;33.951000;1
4;1568;48.946000;1
5;2873;32.480000;1
6;3224;38.384000;1
7;2909;52.503000;1
8;999;36.923000;1
9;1066;40.422000;1
10;1239;36.012000;1
11;2381;34.321000;1
12;995;52.627000;1
13;2633;34.248000;1
14;2394;36.453000;1
15;2268;33.456000;1
16;2372;37.087000;1
17;1583;34.307000;1
18;3302;38.023000;1
19;2705;32.750000;1
20;624;50.131000;1
21;2490;36.981000;1
22;4306;54.366000;1
23;1134;50.934000;1
24;2240;38.296000;1
25;6134;33.029000;1
26;1483;35.653000;1
27;1255;35.387000;1
28;2710;50.469000;1
29;1445;51.594000;1
30;5346;51.918000;1
31;8484;34.644000;1
32;5821;33.629000;1
33;5914;34.276000;1
34;9723;34.281000;1
35;11056;32.349000;1
36;10309;37.036000;1
37;7014;51.395000;1
38;7378;37.041000;1
39;6117;34.827000;1
40;11442;35.592000;1
41;10947;33.935000;1
42;9875;32.685000;1
43;7418;49.933000;1
44;7835;34.984000;1
45;7649;32.955000;1
46;9492;37.746000;1
47;13794;38.677000;1
48;9114;50.104000;1
49;8960;35.564000;1
50;9484;49.837000;1
51;15235;51.163000;1
52;15918;31.760000;1
53;9909;33.335000;1
54;10304;51.870000;1
55;7757;48.899000;1
56;7586;34.501000;1
57;11299;34.069000;1
58;15223;36.375000;1
59;11136;35.268000;1
60;8202;32.541000;1
61;2424;33.529000;1
62;1892;33.541000;1
63;3104;35.974000;1
64;2094;36.441000;1
65;3211;36.548000;1
66;6184;30.854000;1
67;3782;29.195000;1
68;7741;32.069000;1
69;1053;27.969000;1
70;2262;30.976000;1
71;6565;28.421000;1
72;3496;30.641000;1
73;4740;32.404000;1
74;1444;34.214000;1
75;3241;32.503000;1
76;172;35.625000;1
77;5046;31.167000;1
78;3104;34.596000;1
79;5988;32.082000;1
80;5181;31.766000;1
81;2395;34.900000;1
82;5666;33.465000;1
83;10311;30.411000;1
84;8066;32.183000;1
85;3402;32.360000;1
86;2220;31.822000;1
87;5708;28.112000;1
88;6056;31.689000;1
89;6053;29.460000;1
90;7587;28.085000;1
91;10602;30.446000;1
92;9112;34.414000;1
93;9141;35.302000;1
94;14896;30.606000;1
95;7661;36.225000;1
96;12284;33.044000;1
97;1779;32.879000;1
98;11619;33.035000;1
99;8386;34.614000;1
100;15603;30.582000;1
101;12495;34.425000;1
102;12230;33.048000;1
103;7432;30.544000;1
104;11503;28.575000;1
105;14974;34.359000;1
106;10144;31.532000;1
107;6519;33.071000;1
108;16515;29.812000;1
109;7832;31.147000;1
110;9675;32.868000;1
111;18631;27.886000;1
112;16646;31.910000;1
113;16980;29.820000;1
114;12833;31.366000;1
115;17024;32.857000;1
116;10136;33.410000;1
117;15761;34.202000;1
118;16113;33.807000;1
119;18914;30.522000;1
120;12509;30.753000;1
121;485;52.158000;1
122;850;50.015000;1
123;1269;53.630000;1
124;973;54.154000;1
125;3340;48.758000;1
126;1090;54.611000;1
127;1211;52.895000;1
128;0;1.053000;1
129;1396;54.867000;1
130;1394;52.709000;1
131;4522;52.851000;1
132;1978;51.244000;1
133;1497;52.341000;1
134;1167;49.827000;1
135;2710;50.493000;1
136;1592;54.605000;1
137;2312;48.456000;1
138;149;50.701000;1
139;1447;54.820000;1
140;4159;52.048000;1
141;3029;56.454000;1
142;2260;52.166000;1
143;2098;46.259000;1
144;3087;51.406000;1
145;1542;50.235000;1
146;1678;53.954000;1
147;2978;54.269000;1
148;1702;52.206000;1
149;3071;55.602000;1
150;2398;53.018000;1
151;9429;50.538000;1
152;11653;54.175000;1
153;7864;49.609000;1
154;8369;51.188000;1
155;7681;53.765000;1
156;5694;52.330000;1
157;7785;51.065000;1
158;5485;54.820000;1
159;9073;49.373000;1
160;4301;52.669000;1
161;11719;48.738000;1
162;7153;54.261000;1
163;18767;50.648000;1
164;3961;54.433000;1
165;10746;48.967000;1
166;9332;52.967000;1
167;14465;50.131000;1
168;6804;50.738000;1
169;12321;52.323000;1
170;7520;50.651000;1
171;10610;55.330000;1
172;9341;54.139000;1
173;10944;49.018000;1
174;8148;52.753000;1
175;6720;54.999000;1
176;12771;48.638000;1
177;10065;54.385000;1
178;12084;53.305000;1
179;7232;51.112000;1
180;14854;52.686000;1
181;1280;53.359000;1
182;5153;47.716000;1
183;201;53.668000;1
184;3493;49.931000;1
185;1258;53.740000;1
186;3761;49.714000;1
187;830;52.473000;1
188;1712;51.734000;1
189;2341;54.561000;1
190;127;53.200000;1
191;3636;51.964000;1
192;2259;49.373000;1
193;4732;50.469000;1
194;3037;50.088000;1
195;3484;53.247000;1
196;3369;51.348000;1
197;7441;53.814000;1
198;3805;54.357000;1
