ID;FO;tempo;x
1;2262;83.884000;1
2;1618;66.631000;1
3;2611;72.462000;1
4;1568;72.021000;1
5;2873;68.010000;1
6;3176;68.932000;1
7;2882;70.741000;1
8;999;66.244000;1
9;1059;72.890000;1
10;1239;73.133000;1
11;2381;67.742000;1
12;995;68.992000;1
13;2633;65.660000;1
14;2394;65.385000;1
15;2245;66.871000;1
16;2372;64.224000;1
17;1480;71.364000;1
18;3302;68.075000;1
19;2705;60.624000;1
20;585;67.106000;1
21;2443;62.201000;1
22;4306;74.751000;1
23;1134;62.774000;1
24;2240;65.043000;1
25;6134;63.956000;1
26;1483;69.611000;1
27;1249;64.076000;1
28;2641;71.920000;1
29;1393;73.966000;1
30;5324;69.511000;1
31;8484;65.370000;1
32;5804;69.641000;1
33;5914;64.973000;1
34;9723;66.752000;1
35;11056;64.399000;1
36;10299;60.208000;1
37;7014;60.650000;1
38;7355;61.070000;1
39;6117;59.880000;1
40;11442;68.916000;1
41;10947;69.037000;1
42;9875;62.350000;1
43;7388;69.077000;1
44;7824;63.660000;1
45;7649;65.415000;1
46;9492;66.386000;1
47;13794;66.176000;1
48;9114;59.396000;1
49;8960;62.552000;1
50;9484;66.290000;1
51;15235;62.303000;1
52;15918;65.910000;1
53;9881;64.169000;1
54;10304;60.086000;1
55;7743;69.079000;1
56;7586;65.366000;1
57;11299;66.487000;1
58;15223;68.007000;1
59;11136;71.272000;1
60;8202;66.172000;1
61;2424;66.294000;1
62;1874;69.246000;1
63;3104;64.614000;1
64;2089;69.208000;1
65;3211;69.427000;1
66;6184;67.185000;1
67;3782;58.249000;1
68;7741;68.183000;1
69;1053;61.605000;1
70;2262;69.844000;1
71;6565;62.220000;1
72;3496;63.616000;1
73;4740;60.774000;1
74;1444;61.810000;1
75;3241;58.634000;1
76;172;67.941000;1
77;5046;59.032000;1
78;3104;59.018000;1
79;5988;57.406000;1
80;5181;70.554000;1
81;2395;68.577000;1
82;5579;64.889000;1
83;10311;62.165000;1
84;8066;65.989000;1
85;3402;61.547000;1
86;2220;67.641000;1
87;5708;58.131000;1
88;6040;62.352000;1
89;6053;62.069000;1
90;7587;61.544000;1
91;10602;59.910000;1
92;9097;61.486000;1
93;9113;63.008000;1
94;14896;61.540000;1
95;7661;64.934000;1
96;12284;64.357000;1
97;1779;65.878000;1
98;11619;60.825000;1
99;8386;70.245000;1
100;15603;61.306000;1
101;12495;67.599000;1
102;12230;59.327000;1
103;7432;62.511000;1
104;11503;65.587000;1
105;14974;62.408000;1
106;10144;58.354000;1
107;6493;69.512000;1
108;16515;62.383000;1
109;7832;69.205000;1
110;9675;69.235000;1
111;18631;61.375000;1
112;16646;67.479000;1
113;16980;61.022000;1
114;12833;67.029000;1
115;17024;62.309000;1
116;10136;65.746000;1
117;15761;68.129000;1
118;16113;69.691000;1
119;18914;61.051000;1
120;12507;66.612000;1
121;485;103.262000;1
122;850;102.637000;1
123;1269;105.874000;1
124;973;105.919000;1
125;3340;97.561000;1
126;1090;109.174000;1
127;1211;106.718000;1
128;0;1.147000;1
129;1396;108.859000;1
130;1392;106.285000;1
131;4391;100.303000;1
132;1978;103.124000;1
133;1497;104.727000;1
134;1038;97.932000;1
135;2710;103.007000;1
136;1592;106.311000;1
137;2312;101.146000;1
138;149;106.614000;1
139;1447;107.642000;1
140;4159;101.647000;1
141;3029;112.387000;1
142;2260;104.729000;1
143;2071;103.707000;1
144;3087;101.648000;1
145;1476;102.634000;1
146;1678;107.567000;1
147;2978;105.072000;1
148;1702;103.891000;1
149;3071;105.378000;1
150;2398;105.860000;1
151;9402;103.535000;1
152;11647;105.739000;1
153;7864;101.012000;1
154;8369;100.400000;1
155;7681;107.758000;1
156;5694;101.220000;1
157;7785;102.011000;1
158;5485;107.412000;1
159;9073;100.592000;1
160;4301;108.801000;1
161;11719;95.770000;1
162;7153;106.092000;1
163;18758;100.836000;1
164;3961;118.388000;1
165;10746;125.382000;1
166;9332;122.956000;1
167;14465;101.073000;1
168;6804;98.949000;1
169;12302;102.148000;1
170;7520;100.220000;1
171;10600;106.803000;1
172;9341;108.042000;1
173;10907;107.608000;1
174;8134;109.239000;1
175;6665;104.334000;1
176;12742;99.890000;1
177;10065;101.330000;1
178;12034;107.281000;1
179;7232;94.182000;1
180;14854;105.423000;1
181;1280;102.812000;1
182;5124;99.087000;1
183;201;103.671000;1
184;3493;98.847000;1
185;1258;104.174000;1
186;3761;97.870000;1
187;830;105.495000;1
188;1672;100.780000;1
189;2325;106.465000;1
190;127;103.875000;1
191;3608;104.214000;1
192;2259;104.030000;1
193;4729;105.886000;1
194;3037;98.977000;1
195;3484;103.390000;1
196;3369;101.166000;1
197;7405;104.821000;1
198;3805;105.933000;1
199;2464;107.535000;1
200;2785;110.017000;1
201;3603;109.644000;1
202;6815;106.558000;1
203;4999;102.738000;1
204;2229;103.529000;1
205;5990;102.233000;1
206;3365;104.219000;1
207;3658;100.684000;1
208;8966;107.498000;1
209;3380;100.018000;1
210;4238;104.773000;1
211;8727;97.329000;1
212;9035;103.549000;1
213;4496;104.589000;1
214;6548;107.227000;1
215;11927;103.717000;1
216;10318;101.123000;1
217;9141;105.019000;1
218;11151;103.385000;1
219;11600;103.790000;1
220;12944;99.987000;1
221;14194;100.290000;1
222;10920;104.120000;1
223;10588;97.431000;1
224;12879;104.323000;1
225;12973;105.040000;1
226;16777;102.172000;1
227;11581;101.915000;1
228;8387;106.364000;1
229;11093;98.145000;1
230;11627;92.978000;1
231;12051;104.186000;1
232;13058;108.327000;1
233;12511;105.813000;1
234;13797;90.055000;1
235;5777;102.412000;1
236;19865;102.349000;1
237;13151;97.593000;1
238;23442;103.581000;1
239;11741;96.313000;1
240;16414;107.177000;1
241;1244;108.088000;1
242;1630;112.016000;1
243;1231;113.194000;1
244;2060;110.076000;1
245;645;109.570000;1
246;1234;110.044000;1
247;2415;120.799000;1
248;251;115.983000;1
249;1622;121.064000;1
250;537;116.135000;1
251;5332;121.015000;1
252;1685;112.667000;1
253;3092;113.647000;1
254;2798;107.643000;1
255;2642;110.893000;1
256;1931;111.975000;1
257;2054;115.344000;1
258;1433;110.658000;1
259;2809;170.055000;1
260;3381;114.536000;1
261;3698;123.123000;1
262;2016;122.156000;1
263;2802;128.466000;1
264;2762;165.855000;1
265;2479;127.407000;1
266;1336;121.696000;1
267;2849;121.509000;1
268;833;171.651000;1
269;1206;121.014000;1
270;1674;167.940000;1
271;4687;113.361000;1
272;4492;123.155000;1
273;7270;114.448000;1
274;8122;118.093000;1
275;4066;167.725000;1
276;8689;127.276000;1
277;7283;126.391000;1
278;7606;123.011000;1
279;7050;115.933000;1
280;8794;129.709000;1
281;6038;126.010000;1
282;9818;128.951000;1
283;5912;144.457000;1
284;10272;137.472000;1
285;3435;131.839000;1
286;6566;136.078000;1
287;3144;135.010000;1
288;7688;120.408000;1
289;5116;133.883000;1
290;11321;129.570000;1
291;11746;134.403000;1
292;10601;124.483000;1
293;7046;137.424000;1
294;12490;126.363000;1
295;9200;135.268000;1
296;13872;128.644000;1
297;10785;131.371000;1
298;13706;125.948000;1
299;13009;149.399000;1
300;10116;139.374000;1
301;4186;122.940000;1
302;3104;119.066000;1
303;3668;127.373000;1
304;4008;153.433000;1
305;8519;123.892000;1
306;622;163.578000;1
307;5104;136.426000;1
308;1279;129.484000;1
309;4923;127.020000;1
310;2553;149.931000;1
311;4380;123.460000;1
312;4326;113.505000;1
313;10129;108.449000;1
314;4461;114.687000;1
315;4650;113.736000;1
316;2863;109.021000;1
317;5432;110.498000;1
318;4919;110.328000;1
319;2738;106.083000;1
320;7416;117.183000;1
321;4544;119.589000;1
322;4660;113.685000;1
323;4713;109.154000;1
324;7209;119.705000;1
325;2858;117.460000;1
326;8020;113.063000;1
327;4689;120.022000;1
328;3923;115.927000;1
329;6262;119.443000;1
330;4674;109.328000;1
331;2623;116.672000;1
332;9062;110.294000;1
333;6981;110.611000;1
334;10716;107.212000;1
335;6760;109.909000;1
336;10535;105.295000;1
337;7660;119.372000;1
338;13360;107.847000;1
339;5037;112.756000;1
340;9777;111.906000;1
341;9226;115.480000;1
342;8039;121.859000;1
343;8266;107.056000;1
344;14842;115.715000;1
345;11194;110.444000;1
346;7836;111.748000;1
347;3639;110.894000;1
348;10302;111.964000;1
349;14571;116.565000;1
350;8088;118.754000;1
351;16131;115.466000;1
352;9636;114.924000;1
353;16664;111.542000;1
354;12242;111.184000;1
355;15999;112.356000;1
356;9559;117.229000;1
357;17449;116.637000;1
358;8709;120.334000;1
359;12012;105.840000;1
360;11073;113.223000;1
361;1874;117.847000;1
362;464;120.363000;1
363;273;123.644000;1
364;3117;116.842000;1
365;645;119.542000;1
366;691;118.703000;1
367;2160;122.690000;1
368;1361;115.557000;1
369;1744;121.567000;1
370;1777;114.687000;1
371;3186;120.060000;1
372;1198;118.319000;1
373;796;120.572000;1
374;1821;116.309000;1
375;1275;121.768000;1
376;512;119.005000;1
377;1247;120.642000;1
378;1503;116.252000;1
379;1357;119.658000;1
380;1253;116.354000;1
381;2192;120.820000;1
382;1845;121.051000;1
383;2929;121.383000;1
384;1063;121.899000;1
385;980;127.102000;1
386;1210;110.645000;1
387;2176;114.212000;1
388;3626;118.995000;1
389;4190;121.348000;1
390;2078;117.659000;1
391;7334;117.145000;1
392;7035;118.067000;1
393;5628;120.561000;1
394;1579;121.740000;1
395;3386;121.686000;1
396;4610;123.481000;1
397;9978;116.901000;1
398;2663;120.131000;1
399;6641;120.661000;1
400;6051;120.427000;1
401;7819;121.255000;1
402;6374;123.532000;1
403;6377;119.196000;1
404;8344;123.206000;1
405;6239;125.488000;1
406;3824;123.300000;1
407;9531;121.178000;1
408;7623;120.054000;1
409;8104;125.730000;1
410;9196;122.667000;1
411;11162;117.482000;1
412;12609;121.043000;1
413;9450;120.106000;1
414;15730;121.978000;1
415;11569;121.601000;1
416;13383;120.646000;1
417;9771;123.608000;1
418;11103;119.584000;1
419;9972;124.092000;1
420;11346;120.534000;1
421;3751;115.251000;1
422;2599;120.228000;1
423;2016;122.781000;1
424;2579;123.714000;1
425;4548;120.978000;1
426;6184;124.679000;1
427;4027;119.870000;1
428;1596;118.213000;1
429;3361;122.623000;1
430;2237;116.012000;1
431;4900;120.739000;1
432;4081;115.510000;1
433;2174;119.347000;1
434;4683;111.244000;1
435;2129;118.184000;1
436;2084;122.274000;1
437;16;117.080000;1
438;4245;122.301000;1
439;1969;125.831000;1
440;6122;121.961000;1
441;6066;123.811000;1
442;5848;121.069000;1
443;2167;124.166000;1
444;4634;107.987000;1
445;6004;120.451000;1
446;6755;122.940000;1
447;3505;119.854000;1
448;4162;119.187000;1
449;4535;128.107000;1
450;4361;119.811000;1
451;5577;119.113000;1
452;6742;120.161000;1
453;7518;117.070000;1
454;9290;110.999000;1
455;7187;124.137000;1
456;7035;117.579000;1
457;10179;118.343000;1
458;6210;118.594000;1
459;9435;122.437000;1
460;6938;123.439000;1
461;18192;116.576000;1
462;11714;119.333000;1
463;17160;117.569000;1
464;12612;120.932000;1
465;16898;124.859000;1
466;10230;118.922000;1
467;18073;116.402000;1
468;6812;122.441000;1
469;10898;119.876000;1
470;10025;120.100000;1
471;12734;116.124000;1
472;11131;120.395000;1
473;10622;115.328000;1
474;12686;120.930000;1
475;15225;116.413000;1
476;13396;119.516000;1
477;10632;121.061000;1
478;15071;117.702000;1
479;8238;123.655000;1
480;11602;122.044000;1
481;2963;113.509000;1
482;1106;110.370000;1
483;797;151.990000;1
484;748;110.516000;1
485;963;104.860000;1
486;3204;151.796000;1
487;1869;118.968000;1
488;1132;139.553000;1
489;2481;150.566000;1
490;5199;115.206000;1
491;2774;153.703000;1
492;1891;111.251000;1
493;295;101.962000;1
494;3495;144.550000;1
495;2323;112.692000;1
496;2436;154.252000;1
497;3878;142.652000;1
498;3090;118.200000;1
499;4954;151.900000;1
500;1232;111.799000;1
501;2756;104.492000;1
502;2148;152.638000;1
503;3110;110.964000;1
504;1897;112.103000;1
505;5889;146.390000;1
506;830;114.396000;1
507;4208;151.160000;1
508;1979;141.784000;1
509;2839;108.836000;1
510;2866;154.354000;1
511;14090;106.257000;1
512;17441;107.342000;1
513;12960;150.998000;1
514;14269;107.985000;1
515;8942;150.192000;1
516;9750;139.479000;1
517;11405;113.707000;1
518;15760;142.709000;1
519;10558;147.280000;1
520;16245;106.086000;1
521;4231;155.444000;1
522;9105;109.820000;1
523;18914;104.817000;1
524;19972;144.567000;1
525;14472;116.013000;1
526;16870;150.911000;1
527;14036;145.603000;1
528;13004;113.105000;1
529;12602;152.004000;1
530;6954;110.123000;1
531;14532;106.420000;1
532;19349;152.398000;1
533;17076;116.122000;1
534;19128;107.641000;1
535;21605;149.570000;1
536;17831;113.667000;1
537;18630;144.351000;1
538;18547;148.049000;1
539;18049;115.786000;1
540;13651;153.049000;1
541;10068;113.270000;1
542;6396;108.983000;1
543;3949;145.540000;1
544;6543;111.167000;1
545;5883;148.304000;1
546;6066;143.680000;1
547;6140;102.967000;1
548;8799;151.693000;1
549;4176;149.553000;1
550;6999;112.018000;1
551;10839;142.005000;1
552;5613;101.922000;1
553;5523;117.262000;1
554;9287;143.264000;1
555;5108;109.664000;1
556;11046;140.867000;1
557;10275;145.993000;1
558;9401;105.289000;1
559;4111;141.413000;1
560;8203;104.782000;1
561;5812;105.132000;1
562;3613;146.490000;1
563;6067;111.579000;1
564;13356;145.183000;1
565;10365;150.095000;1
566;11934;104.729000;1
567;8014;145.280000;1
568;12804;147.460000;1
569;13996;115.461000;1
570;8918;138.252000;1
571;15239;109.283000;1
572;16923;110.072000;1
573;21530;148.075000;1
574;11776;111.096000;1
575;14494;144.836000;1
576;18823;146.856000;1
577;13707;104.173000;1
578;12393;144.077000;1
579;9786;107.412000;1
580;19659;108.028000;1
581;17960;147.665000;1
582;20359;112.959000;1
583;16416;112.192000;1
584;18616;147.337000;1
585;20105;107.042000;1
586;13837;154.794000;1
587;21745;145.653000;1
588;25804;108.666000;1
589;19815;146.413000;1
590;30616;107.746000;1
591;36070;100.991000;1
592;21219;152.934000;1
593;13304;111.932000;1
594;21468;146.821000;1
595;23375;144.798000;1
596;24792;107.024000;1
597;14315;158.661000;1
598;14827;150.945000;1
599;25459;109.024000;1
600;36486;146.089000;1
601;1972;156.370000;1
602;4299;164.861000;1
603;3475;158.248000;1
604;695;159.680000;1
605;2392;164.997000;1
606;2161;153.641000;1
607;2809;145.327000;1
608;1230;166.543000;1
609;1794;154.570000;1
610;4498;158.117000;1
611;1033;156.518000;1
612;2045;168.021000;1
613;1624;161.452000;1
614;3197;162.608000;1
615;3897;161.942000;1
616;2366;165.151000;1
617;4266;160.498000;1
618;2178;155.526000;1
619;2771;151.108000;1
620;568;150.707000;1
621;7987;160.982000;1
622;2756;153.052000;1
623;6675;160.431000;1
624;2425;158.257000;1
625;2001;161.088000;1
626;4338;164.187000;1
627;2060;165.413000;1
628;2059;161.633000;1
629;5961;154.400000;1
630;3142;153.978000;1
631;9840;160.336000;1
632;5486;164.560000;1
633;9371;153.394000;1
634;14407;161.179000;1
635;9709;152.842000;1
636;9726;166.196000;1
637;11661;168.714000;1
638;8223;161.098000;1
639;10388;172.511000;1
640;13573;151.618000;1
641;16083;152.666000;1
642;18544;155.416000;1
643;15153;152.823000;1
644;14674;157.961000;1
645;9289;163.648000;1
646;16242;161.107000;1
647;15400;170.845000;1
648;10974;169.446000;1
649;9472;168.119000;1
650;6275;173.452000;1
651;15183;157.154000;1
652;8754;159.437000;1
653;21055;158.077000;1
654;11165;158.596000;1
655;12536;168.567000;1
656;16232;165.909000;1
657;14693;161.013000;1
658;21075;160.523000;1
659;10150;168.396000;1
660;11896;166.421000;1
661;3553;160.222000;1
662;3653;152.038000;1
663;8997;142.185000;1
664;2719;153.604000;1
665;6022;143.461000;1
666;5299;153.765000;1
667;8614;160.999000;1
668;2889;162.086000;1
669;6429;167.751000;1
670;4628;161.461000;1
671;4974;172.611000;1
672;11208;165.591000;1
673;8936;172.275000;1
674;10130;153.594000;1
675;4458;156.422000;1
676;6276;156.078000;1
677;7980;156.019000;1
678;11802;163.827000;1
679;5333;157.074000;1
680;4223;158.798000;1
681;5989;167.386000;1
682;8933;153.841000;1
683;6773;170.594000;1
684;7590;153.470000;1
685;4694;146.715000;1
686;11877;146.834000;1
687;8834;151.685000;1
688;10136;149.673000;1
689;17065;153.508000;1
690;6387;153.353000;1
691;11028;157.789000;1
692;18922;163.778000;1
693;21025;160.672000;1
694;11154;165.001000;1
695;9653;167.614000;1
696;13849;155.571000;1
697;18327;156.981000;1
698;10999;158.221000;1
699;18914;150.754000;1
700;20102;155.973000;1
701;35150;161.332000;1
702;22941;152.683000;1
703;13518;167.493000;1
704;9010;158.984000;1
705;28868;162.551000;1
706;20022;167.363000;1
707;19741;163.072000;1
708;15843;156.754000;1
709;7361;152.438000;1
710;11506;152.750000;1
711;10955;159.216000;1
712;23925;160.459000;1
713;20227;147.095000;1
714;16285;164.265000;1
715;31557;157.887000;1
716;23070;157.258000;1
717;20533;157.462000;1
718;19159;166.592000;1
719;27714;150.866000;1
720;33361;149.247000;1
721;3108;166.586000;1
722;1442;165.359000;1
723;4757;174.950000;1
724;1876;171.693000;1
725;2581;171.177000;1
726;2217;177.092000;1
727;867;177.429000;1
728;294;177.075000;1
729;3366;169.381000;1
730;3079;162.624000;1
731;3541;166.291000;1
732;2411;165.370000;1
733;1985;166.389000;1
734;4409;173.362000;1
735;2702;165.873000;1
736;890;172.021000;1
737;2217;171.858000;1
738;1736;171.084000;1
739;3147;172.356000;1
740;2142;172.471000;1
741;1141;182.290000;1
742;3656;158.290000;1
743;2141;157.391000;1
744;2398;164.057000;1
745;2335;171.977000;1
746;1648;171.657000;1
747;3966;176.961000;1
748;3432;166.635000;1
749;3756;179.480000;1
750;678;172.132000;1
751;11554;173.269000;1
752;9238;181.386000;1
753;8575;171.855000;1
754;4769;166.513000;1
755;12305;163.134000;1
756;9923;163.291000;1
757;12171;171.780000;1
758;9792;171.169000;1
759;8881;176.983000;1
760;8938;193.361000;1
761;12235;177.107000;1
762;9561;173.029000;1
763;9889;177.825000;1
764;12821;177.169000;1
