instance,LBTT0,min_wait,LBTT
1001,960,0,960
1011,322,2,324
1021,943,30,973
1031,4353,390,4743
1041,6160,1161,7321
1051,7489,403,7892
1061,1458,16,1474
1071,5401,182,5583
1081,2373,0,2373
1091,6672,364,7036
1101,8388,960,9348
1111,16330,553,16883
1121,485,0,485
1131,1275,22,1297
1141,1770,22,1792
1151,6678,278,6956
1161,8084,436,8520
1171,5196,624,5820
1181,958,0,958
1191,2745,11,2756
1201,2276,38,2314
1211,6831,141,6972
1221,12279,419,12698
1231,9670,357,10027
1241,352,6,358
1251,2220,146,2366
1261,2055,50,2105
1271,4077,0,4077
1281,2261,115,2376
1291,6992,1046,8038
1301,4077,28,4105
1311,4254,0,4254
1321,2732,120,2852
1331,2058,12,2070
1341,8667,243,8910
1351,11933,172,12105
1361,826,2,828
1371,1288,4,1292
1381,1233,0,1233
1391,4708,125,4833
1401,4683,575,5258
1411,8113,728,8841
1421,3743,0,3743
1431,3442,132,3574
1441,4551,144,4695
1451,5287,85,5372
1461,16142,765,16907
1471,10030,356,10386
1481,1678,64,1742
1491,1814,31,1845
1501,2633,2,2635
1511,8572,556,9128
1521,2656,130,2786
1531,11915,688,12603
1541,7849,208,8057
1551,9698,132,9830
1561,5314,48,5362
1571,13409,546,13955
1581,16465,493,16958
1591,32873,1935,34808
1601,1799,0,1799
1611,1033,0,1033
1621,6477,41,6518
1631,4805,144,4949
1641,11157,280,11437
1651,10599,146,10745
1661,3200,63,3263
1671,4127,163,4290
1681,5139,40,5179
1691,9150,201,9351
1701,32015,912,32927
1711,10392,124,10516
1721,2282,4,2286
1731,3237,0,3237
1741,666,0,666
1751,10057,145,10202
1761,10392,372,10764
1771,10624,678,11302
1781,4929,0,4929
1791,9596,0,9596
1801,19385,9,19394
1811,14278,156,14434
1821,19098,325,19423
1831,29034,510,29544
1841,823,1,824
1851,1543,0,1543
1861,867,0,867
1871,5304,281,5585
1881,9945,390,10335
1891,21395,620,22015
1901,2311,0,2311
1911,7552,42,7594
1921,11949,192,12141
1931,18854,270,19124
1941,23612,185,23797
1951,22724,192,22916
1961,2838,2,2840
1971,307,0,307
1981,5424,4,5428
1991,17512,92,17604
2001,27393,192,27585
2011,36437,144,36581
2021,13670,102,13772
2031,16949,30,16979
2041,23300,33,23333
2051,29808,129,29937
2061,69705,540,70245
2071,56306,191,56497
2081,6262,0,6262
2091,8010,0,8010
2101,6770,0,6770
2111,31054,810,31864
2121,41429,834,42263
2131,48424,266,48690
2141,12940,9,12949
2151,8685,22,8707
2161,5666,3,5669
2171,28391,424,28815
2181,60020,602,60622
2191,41938,347,42285
2201,2578,0,2578
2211,4084,0,4084
2221,4797,0,4797
2231,21235,129,21364
2241,39567,299,39866
2251,28088,15,28103
2261,11524,0,11524
2271,14474,26,14500
2281,15560,64,15624
2291,43144,168,43312
2301,53636,215,53851
2311,68009,409,68418
2321,6645,93,6738
2331,7827,56,7883
2341,12816,20,12836
2351,30367,700,31067
2361,27440,629,28069
2371,46986,417,47403
2381,14962,0,14962
2391,14597,24,14621
2401,15532,0,15532
2411,37833,160,37993
2421,55937,1167,57104
2431,71374,381,71755
2441,1541,0,1541
2451,1138,48,1186
2461,1410,0,1410
2471,2422,168,2590
2481,3365,120,3485
2491,10590,700,11290
2501,3717,174,3891
2511,3687,153,3840
2521,5124,240,5364
2531,11191,928,12119
2541,25648,1981,27629
2551,22272,1930,24202
2561,58,0,58
2571,1545,12,1557
2581,1849,0,1849
2591,3324,351,3675
2601,1676,117,1793
2611,7255,637,7892
2621,1271,0,1271
2631,3042,35,3077
2641,5497,236,5733
2651,11093,529,11622
2661,12800,807,13607
