instance,alpha,solution,time,gap,lb,nodes,ub
3401,0.0,6516.0,146.551744,inf,inf,0.0,-inf
3411,0.0,7815.0,117.099216,inf,inf,0.0,-inf
3421,0.0,19075.0,144.766343,inf,inf,0.0,-inf
3431,0.0,34821.0,135.399958,inf,inf,0.0,-inf
3441,0.0,40829.0,109.439807,inf,inf,0.0,-inf
3451,0.0,76532.0,138.811134,inf,inf,0.0,-inf
3461,0.0,25577.0,169.09742,inf,inf,0.0,-inf
3471,0.0,30558.0,138.01373,inf,inf,0.0,-inf
3481,0.0,53838.0,143.244247,inf,inf,0.0,-inf
3491,0.0,61975.0,131.60091,inf,inf,0.0,-inf
3501,0.0,69983.0,126.378013,inf,inf,0.0,-inf
3511,0.0,127028.0,138.971038,inf,inf,0.0,-inf
3521,0.0,6673.0,147.540954,inf,inf,0.0,-inf
3531,0.0,6469.0,134.190382,inf,inf,0.0,-inf
3541,0.0,11121.0,139.059307,inf,inf,0.0,-inf
2381,0.1,15538.586609,1537.596815,inf,inf,0.0,-inf
2391,0.1,15390.679714,1634.342991,inf,inf,0.0,-inf
2401,0.1,Unknown,,,,,
2431,0.1,74578.949934,187.848975,inf,inf,0.0,-inf
2631,0.1,3163.911458,86.678798,inf,inf,0.0,-inf
2641,0.1,6142.86902,95.488584,inf,inf,0.0,-inf
2651,0.1,11643.543169,70.836777,inf,inf,0.0,-inf
2661,0.1,13898.447488,1010.523409,inf,inf,0.0,-inf
2671,0.1,13118.261749,55.394209,inf,inf,0.0,-inf
1401,0.0,4683.0,2.700226,inf,inf,0.0,-inf
1411,0.0,8113.0,3.403778,inf,inf,0.0,-inf
1421,0.0,3743.0,4.380329,inf,inf,0.0,-inf
1431,0.0,3442.0,3.585206,inf,inf,0.0,-inf
1441,0.0,4551.0,3.279286,inf,inf,0.0,-inf
1451,0.0,5287.0,3.399983,inf,inf,0.0,-inf
1461,0.0,16142.0,3.954775,inf,inf,0.0,-inf
1471,0.0,10030.0,2.483443,inf,inf,0.0,-inf
1481,0.0,1678.0,5.54946,inf,inf,0.0,-inf
1491,0.0,1814.0,4.9723,inf,inf,0.0,-inf
3701,0.0,31923.0,128.398148,inf,inf,0.0,-inf
3711,0.0,27323.0,125.752502,inf,inf,0.0,-inf
3721,0.0,64120.0,156.328671,inf,inf,0.0,-inf
3731,0.0,39005.0,142.274339,inf,inf,0.0,-inf
3741,0.0,91568.0,146.010697,inf,inf,0.0,-inf
3751,0.0,143543.0,153.850373,inf,inf,0.0,-inf
3761,0.0,9414.0,130.572032,inf,inf,0.0,-inf
3771,0.0,11118.0,136.66835,inf,inf,0.0,-inf
3781,0.0,15718.0,138.648977,inf,inf,0.0,-inf
3791,0.0,20981.0,151.138941,inf,inf,0.0,-inf
3801,0.0,75301.0,152.892065,inf,inf,0.0,-inf
3811,0.0,68045.0,134.064127,inf,inf,0.0,-inf
3821,0.0,25428.0,130.284974,inf,inf,0.0,-inf
3831,0.0,34978.0,137.682902,inf,inf,0.0,-inf
3841,0.0,29694.0,151.005455,inf,inf,0.0,-inf
1201,0.0,2276.0,2.558226,inf,inf,0.0,-inf
1211,0.0,6831.0,3.796892,inf,inf,0.0,-inf
1221,0.0,12279.0,3.120942,inf,inf,0.0,-inf
1231,0.0,9670.0,3.214044,inf,inf,0.0,-inf
1241,0.0,352.0,2.644323,inf,inf,0.0,-inf
1251,0.0,2220.0,2.986183,inf,inf,0.0,-inf
1261,0.0,2055.0,3.990599,inf,inf,0.0,-inf
1271,0.0,4077.0,5.103485,inf,inf,0.0,-inf
1281,0.0,2261.0,1.953147,inf,inf,0.0,-inf
1291,0.0,6992.0,2.345972,inf,inf,0.0,-inf
2451,0.1,1337.032089,125.646842,inf,inf,0.0,-inf
2461,0.1,Unknown,,,,,
1101,0.0,8388.0,2.773914,inf,inf,0.0,-inf
1111,0.0,16330.0,4.152229,inf,inf,0.0,-inf
1121,0.0,485.0,4.753045,inf,inf,0.0,-inf
1131,0.0,1275.0,2.077477,inf,inf,0.0,-inf
1141,0.0,1770.0,2.416157,inf,inf,0.0,-inf
1151,0.0,6678.0,3.504719,inf,inf,0.0,-inf
1161,0.0,8084.0,4.119877,inf,inf,0.0,-inf
1171,0.0,5196.0,2.5567,inf,inf,0.0,-inf
1181,0.0,958.0,1.836776,inf,inf,0.0,-inf
1191,0.0,2745.0,2.443077,inf,inf,0.0,-inf
2681,0.1,746.294741,113.888696,inf,inf,0.0,-inf
2691,0.1,4388.883831,119.679603,inf,inf,0.0,-inf
2701,0.1,Unknown,,,,,
1001,0.0,960.0,2.594359,inf,inf,0.0,-inf
1011,0.0,322.0,2.181604,inf,inf,0.0,-inf
1021,0.0,943.0,2.577159,inf,inf,0.0,-inf
1031,0.0,4353.0,3.162382,inf,inf,0.0,-inf
1041,0.0,6160.0,2.663319,inf,inf,0.0,-inf
1051,0.0,7489.0,2.197374,inf,inf,0.0,-inf
1061,0.0,1458.0,2.19648,inf,inf,0.0,-inf
1071,0.0,5401.0,3.910015,inf,inf,0.0,-inf
1081,0.0,2373.0,3.173111,inf,inf,0.0,-inf
1091,0.0,6672.0,2.85586,inf,inf,0.0,-inf
2731,0.1,11716.957976,213.537685,inf,inf,0.0,-inf
2741,0.1,Unknown,,,,,
3001,0.0,14303.0,94.524263,inf,inf,0.0,-inf
3011,0.0,13522.0,59.528976,inf,inf,0.0,-inf
3021,0.0,20104.0,74.859905,inf,inf,0.0,-inf
3031,0.0,41363.0,65.519087,inf,inf,0.0,-inf
3041,0.0,1252.0,59.037175,inf,inf,0.0,-inf
3051,0.0,2266.0,61.357363,inf,inf,0.0,-inf
3061,0.0,2075.0,60.464534,inf,inf,0.0,-inf
3071,0.0,11669.0,80.852575,inf,inf,0.0,-inf
3081,0.0,13937.0,66.085757,inf,inf,0.0,-inf
3091,0.0,21604.0,64.294114,inf,inf,0.0,-inf
3101,0.0,5287.0,65.316984,inf,inf,0.0,-inf
3111,0.0,15417.0,63.788563,inf,inf,0.0,-inf
3121,0.0,11216.0,54.778771,inf,inf,0.0,-inf
3131,0.0,16273.0,58.14071,inf,inf,0.0,-inf
3141,0.0,23616.0,69.042017,inf,inf,0.0,-inf
3151,0.0,40545.0,70.925606,inf,inf,0.0,-inf
3161,0.0,1982.0,49.507568,inf,inf,0.0,-inf
3171,0.0,4474.0,67.857779,inf,inf,0.0,-inf
3181,0.0,3396.0,68.83038,inf,inf,0.0,-inf
3191,0.0,11037.0,53.719856,inf,inf,0.0,-inf
3201,0.0,15261.0,75.851708,inf,inf,0.0,-inf
3211,0.0,19279.0,67.219821,inf,inf,0.0,-inf
3221,0.0,15574.0,83.527926,inf,inf,0.0,-inf
3231,0.0,14201.0,73.212923,inf,inf,0.0,-inf
3241,0.0,14495.0,68.861361,inf,inf,0.0,-inf
3251,0.0,17187.0,51.70869,inf,inf,0.0,-inf
3261,0.0,12628.0,37.722496,inf,inf,0.0,-inf
3271,0.0,35214.0,55.236673,inf,inf,0.0,-inf
3281,0.0,1446.0,48.621363,inf,inf,0.0,-inf
3291,0.0,4267.0,41.970346,inf,inf,0.0,-inf
3301,0.0,2077.0,43.306147,inf,inf,0.0,-inf
3311,0.0,12403.0,51.335164,inf,inf,0.0,-inf
3321,0.0,17082.0,62.200343,inf,inf,0.0,-inf
3331,0.0,22781.0,95.415176,inf,inf,0.0,-inf
3341,0.0,9196.0,120.551164,inf,inf,0.0,-inf
3351,0.0,7382.0,81.329185,inf,inf,0.0,-inf
3361,0.0,7721.0,76.170807,inf,inf,0.0,-inf
3371,0.0,24011.0,127.249158,inf,inf,0.0,-inf
3381,0.0,26258.0,107.700442,inf,inf,0.0,-inf
3391,0.0,25649.0,69.289713,inf,inf,0.0,-inf
2001,0.2,Unknown,,,,,
2011,0.2,Unknown,,,,,
2021,0.2,Unknown,,,,,
2031,0.2,18159.502207,476.040149,inf,inf,0.0,-inf
2041,0.2,24767.741269,429.680876,inf,inf,0.0,-inf
2051,0.2,32206.419945,270.865667,inf,inf,0.0,-inf
2061,0.2,76907.463943,188.79288,inf,inf,0.0,-inf
2071,0.2,Unknown,,,,,
2081,0.2,Unknown,,,,,
2091,0.2,9109.618528,1180.190289,inf,inf,0.0,-inf
2101,0.2,6856.397705,565.639068,inf,inf,0.0,-inf
2111,0.2,39061.373423,266.262654,inf,inf,0.0,-inf
2121,0.2,52652.683870,237.624829,inf,inf,0.0,-inf
2131,0.2,58226.553205,404.023472,inf,inf,0.0,-inf
2141,0.2,13421.364267,684.033822,inf,inf,0.0,-inf
2151,0.2,Unknown,,,,,
2161,0.2,Unknown,,,,,
2171,0.2,33316.036468,158.448519,inf,inf,0.0,-inf
2181,0.2,66883.782183,736.166148,inf,inf,0.0,-inf
2191,0.2,47387.359000,249.380853,inf,inf,0.0,-inf
2201,0.2,2578.000000,140.119843,inf,inf,0.0,-inf
2211,0.2,4157.554674,1020.88828,inf,inf,0.0,-inf
2221,0.2,Unknown,,,,,
2231,0.2,24408.326682,84.287789,inf,inf,0.0,-inf
2241,0.2,Unknown,,,,,
1001,0.2,1230.115578,27.282006,inf,inf,0.0,-inf
1011,0.2,352.569023,165.779484,inf,inf,0.0,-inf
1021,0.2,1106.788800,6.956471,inf,inf,0.0,-inf
1031,0.2,5276.425049,9.116801,inf,inf,0.0,-inf
1041,0.2,8114.512359,8.263022,inf,inf,0.0,-inf
1051,0.2,9581.331659,5.93205,inf,inf,0.0,-inf
1061,0.2,1561.213330,5.984287,inf,inf,0.0,-inf
1071,0.2,5907.754486,8.451207,inf,inf,0.0,-inf
