instance,alpha,solution,time,gap,lb,nodes,ub
20433,0.0,0.0,1990.063486,0.0,0.0,551991,0.0
20434,0.0,253.0,1231.592033,0.0,253.0,315799,253.0
20435,0.0,0.0,8.99156,0.0,0.0,522,0.0
20436,0.0,282.0,2330.353872,0.0,282.0,302550,282.0
20437,0.0,258.0,44.406109,0.0,258.0,10060,258.0
20438,0.0,590.0,3600.001502,0.105327,527.856935,1091146,590.0
20439,0.0,481.0,888.771139,0.0,481.0,561291,481.0
20440,0.0,556.0,1289.640742,0.0,556.0,617711,556.0
20441,0.0,580.0,3116.376854,0.0,580.0,1241088,580.0
20442,0.0,442.0,614.686664,0.0,442.0,257509,442.0
20443,0.0,985.0,1552.249153,0.0,985.0,719173,985.0
20444,0.0,832.0,1752.570048,0.0,832.0,1243962,832.0
20445,0.0,0.0,15.765867,0.0,0.0,4139,0.0
20446,0.0,149.0,3600.000682,0.412095,87.597829,613642,149.0
20447,0.0,97.0,349.192136,0.0,97.0,120172,97.0
20448,0.0,501.0,2391.231366,0.0,501.0,785351,501.0
20449,0.0,441.0,1623.070972,0.0,441.0,418018,441.0
20450,0.0,588.0,82.49161,0.0,588.0,17294,588.0
20451,0.0,859.0,3600.005089,0.200233,687.0,1158499,859.0
20452,0.0,692.0,3600.001439,0.434012,391.663673,2245924,692.0
20453,0.0,929.0,3600.000279,0.60038,371.246694,1321240,929.0
20454,0.0,876.0,1343.358011,0.0,876.0,546663,876.0
20455,0.0,993.0,648.832232,0.0,993.0,292615,993.0
20456,0.0,823.0,2840.53158,0.0,823.0,996166,823.0
20457,0.0,155.0,3600.000521,0.451613,85.0,1234323,155.0
20458,0.0,375.0,3600.000486,0.551875,168.047022,1218778,375.0
20459,0.0,0.0,230.373516,0.0,0.0,78895,0.0
20460,0.0,1260.0,3600.000607,0.216097,987.718392,818629,1260.0
20461,0.0,889.0,3600.000364,0.184279,725.175642,1365819,889.0
20462,0.0,980.0,239.25866,0.0,980.0,87675,980.0
20463,0.0,866.0,3600.003135,0.584178,360.102061,812377,866.0
20464,0.0,613.0,3600.001137,0.535073,285.0,1569131,613.0
20465,0.0,1157.0,3600.000457,0.387138,709.081864,586683,1157.0
20466,0.0,1356.0,3600.002288,0.179941,1112.0,1400884,1356.0
20467,0.0,2358.0,3600.000625,0.096804,2129.737106,1434941,2358.0
20468,0.0,710.0,3600.000716,0.34991,461.564103,1432757,710.0
20469,0.0,165.0,2966.989031,0.0,165.0,1149284,165.0
20470,0.0,0.0,42.572612,0.0,0.0,10566,0.0
20471,0.0,0.0,805.001976,0.0,0.0,338782,0.0
20472,0.0,191.0,39.513461,0.0,191.0,8681,191.0
20473,0.0,573.0,3600.000628,0.352942,370.764187,995225,573.0
20474,0.0,13.0,38.497884,0.0,13.0,11756,13.0
20475,0.0,837.0,3600.001914,0.306633,580.348577,906384,837.0
20476,0.0,1186.0,3600.000381,0.111821,1053.380251,1037127,1186.0
20477,0.0,432.0,1834.373327,0.0,432.0,856187,432.0
20478,0.0,559.0,1062.858069,0.0,559.0,432895,559.0
20479,0.0,252.0,1051.415915,0.0,252.0,554907,252.0
20480,0.0,627.0,83.976706,0.0,627.0,43630,627.0
20481,0.0,350.0,3600.000333,0.529527,164.66546,845213,350.0
20482,0.0,106.0,714.620889,0.0,106.0,273839,106.0
20483,0.0,82.0,3600.000279,0.45655,44.562914,1866714,82.0
20484,0.0,233.0,41.428078,0.0,233.0,11392,233.0
20485,0.0,114.0,226.823805,0.0,114.0,93879,114.0
20486,0.0,774.0,58.694091,0.0,774.0,12339,774.0
20487,0.0,873.0,3600.000366,0.451874,478.51427,1984551,873.0
20488,0.0,1129.0,3600.001283,0.273956,819.704202,1543783,1129.0
20489,0.0,998.0,3600.002723,0.161986,836.337832,1999577,998.0
20490,0.0,402.0,1460.186452,0.0,402.0,366432,402.0
20491,0.0,871.0,3600.001702,0.239606,662.303557,1036915,871.0
20492,0.0,557.999998,2032.417326,0.0,557.999998,538533,557.999998
20493,0.0,282.0,3600.000432,0.448749,155.45277,1623259,282.0
20494,0.0,0.0,45.166709,0.0,0.0,18940,0.0
20495,0.0,0.0,17.864229,0.0,0.0,2457,0.0
20496,0.0,146.0,23.706901,0.0,146.0,1482,146.0
20497,0.0,412.0,3600.003445,0.109223,367.0,714271,412.0
20498,0.0,355.0,306.997694,0.0,355.0,65754,355.0
20499,0.0,1256.0,3600.006039,0.386224,770.902439,855603,1256.0
20500,0.0,1712.0,3600.005015,0.30298,1193.297477,1064311,1712.0
20501,0.0,1018.0,3600.000394,0.496173,512.895794,1306535,1018.0
20502,0.0,1245.0,3600.000624,0.253545,929.336435,1330308,1245.0
20374,0.1,369.74715,3600.001231,0.477557,193.171859,425542,369.74715
20375,0.1,141.903286,558.587087,0.0,141.903286,127405,141.903286
20376,0.1,230.619284,8.563699,0.0,230.619284,1780,230.619284
20073,0.1,6.349726,0.043241,0.0,6.349726,92,6.349726
20074,0.1,307.061736,0.201629,0.0,307.061736,445,307.061736
20075,0.1,40.0,0.016838,0.0,40.0,0,40.0
20076,0.1,226.309525,0.072498,0.0,226.309525,23,226.309525
20077,0.1,148.368524,0.025783,0.0,148.368524,0,148.368524
20078,0.1,102.633111,0.295127,0.0,102.633111,1029,102.633111
20079,0.1,306.7893,0.152755,0.0,306.7893,276,306.7893
20080,0.1,36.831475,0.110345,0.0,36.831475,304,36.831475
20081,0.1,220.090639,0.115521,0.0,220.090639,166,220.090639
20082,0.1,186.236844,0.059662,0.0,186.236844,38,186.236844
20083,0.1,385.419529,0.072056,0.0,385.419529,20,385.419529
20084,0.1,111.459796,0.550504,0.0,111.459796,1296,111.459796
